# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:43:59:990,-0.0164,0.0052,0.0199,0.03
23:43:59:991,-0.0069,0.0101,0.0150,0.02
23:43:59:991,-0.0022,0.0053,0.0054,0.01
23:44:00:004,0.0025,0.0148,0.0149,0.02
23:44:00:004,-0.0071,0.0005,0.0147,0.02
23:44:00:014,-0.0072,0.0006,0.0192,0.02
23:44:00:014,-0.0025,0.0101,0.0142,0.02
23:44:00:034,0.0022,0.0101,0.0189,0.02
23:44:00:039,-0.0027,0.0146,0.0228,0.03
23:44:00:044,-0.0075,0.0003,0.0273,0.03
23:44:00:049,-0.0074,0.0098,0.0129,0.02
23:44:00:061,-0.0027,0.0050,0.0222,0.02
23:44:00:062,-0.0169,0.0098,0.0268,0.03
23:44:00:064,-0.0026,0.0050,0.0218,0.02
23:44:00:077,-0.0074,0.0003,0.0312,0.03
23:44:00:078,-0.0122,0.0051,0.0214,0.03
23:44:00:080,-0.0074,0.0098,0.0070,0.01
23:44:00:096,-0.0121,0.0098,0.0212,0.03
23:44:00:114,-0.0121,0.0146,0.0254,0.03
23:44:00:129,-0.0216,0.0005,0.0247,0.03
23:44:00:130,-0.0025,0.0054,0.0150,0.02
23:44:00:130,-0.0120,0.0006,0.0243,0.03
23:44:00:145,-0.0073,0.0055,0.0146,0.02
23:44:00:161,-0.0119,0.0101,0.0189,0.02
23:44:00:179,-0.0024,0.0004,0.0231,0.02
23:44:00:195,-0.0216,0.0006,0.0178,0.03
23:44:00:212,-0.0120,0.0054,0.0174,0.02
23:44:00:228,0.0022,0.0054,0.0215,0.02
23:44:00:246,-0.0074,0.0053,0.0209,0.02
23:44:00:265,-0.0074,0.0004,0.0110,0.01
23:44:00:276,-0.0074,0.0054,0.0199,0.02
23:44:00:277,0.0020,0.0054,0.0244,0.03
23:44:00:295,-0.0075,0.0053,0.0241,0.03
23:44:00:314,-0.0027,0.0101,0.0188,0.02
23:44:00:333,-0.0076,0.0196,0.0277,0.03
23:44:00:341,0.0019,0.0054,0.0269,0.03
23:44:00:347,-0.0029,-0.0040,0.0171,0.02
